alias;command;offset;;;;
RV-CONT-A13;state_cmd;8257;;;;
RV-CONT-A15-SC;state_cmd;8258;;;;
RV-CONT-A17-SM;state_cmd;8259;;;;
RV-CONT-A16-SC;state_cmd;8260;;;;
RV-CONT-A18-SM;state_cmd;8261;;;;
RV-CONT-AA9-SC;state_cmd;8262;;;;
RV-CONT-AA8-SC;state_cmd;8263;;;;
RV-CONT-AA2-SM;state_cmd;8264;;;;
RV-CONT-AA1-SM;state_cmd;8265;;;;
RV-CONT-AE7-SM;state_cmd;8266;;;;
RV-CONT-AE14-SC;state_cmd;8267;;;;
RV-CONT-AE15-SC;state_cmd;8268;;;;
RV-CONT-AE16-SM;state_cmd;8269;;;;
MM-CONT-A9-SC;state_cmd;8270;;;;
MM-CONT-A11-SC;state_cmd;8271;;;;
MM-CONT-A12-SC;state_cmd;8272;;;;
MM-CONT-A14-SC;state_cmd;8273;;;;
MM-CONT-A4-SM;state_cmd;8274;;;;
MM-CONT-A6-SM;state_cmd;8275;;;;
MM-CONT-A3-SM;state_cmd;8276;;;;
MM-CONT-A5-SM;state_cmd;8277;;;;
MM-CONT-AA7-SC;state_cmd;8278;;;;
MM-CONT-AA10-SC;state_cmd;8279;;;;
MM-CONT-AA2-SM;state_cmd;8280;;;;
MM-CONT-AA1-SM;state_cmd;8281;;;;
MM-CONT-AE13-SM;state_cmd;8282;;;;
MM-CONT-AE16-SC;state_cmd;8283;;;;
MM-CONT-AE17-SC;state_cmd;8284;;;;
MM-CONT-AE18-SM;state_cmd;8285;;;;
MM-CONT-A17-SC;state_cmd;8286;;;;
MM-CONT-A18-SC;state_cmd;8287;;;;
MM-CONT-A19-SM;state_cmd;8288;;;;
MM-CONT-A20-SM;state_cmd;8289;;;;
STMI-CONT-AA1-SC;state_cmd;8290;;;;
STMI-CONT-AA2-SC;state_cmd;8291;;;;
STMI-CONT-AA6-SM;state_cmd;8292;;;;
STMI-CONT-AA7-SM;state_cmd;8293;;;;
STMI-CONT-AE5-SC;state_cmd;8294;;;;
