item;alias;description;sessionuid;road;stretchs;pk;sentido
109;LQ-MAGDIF-BF20;LQ-MAGDIF-BF20;LQ-MAGDIF-BF20;Carretera Tunel;Carretera;166+727;CA
110;LQ-MAGDIF-BF21;LQ-MAGDIF-BF21;LQ-MAGDIF-BF21;Carretera Tunel;Carretera;166+727;CA
111;LQ-MAGDIF-BF22;LQ-MAGDIF-BF22;LQ-MAGDIF-BF22;Carretera Tunel;Carretera;166+727;CA
112;LQ-MAGDIF-BF23;LQ-MAGDIF-BF23;LQ-MAGDIF-BF23;Carretera Tunel;Carretera;166+727;CA
113;LQ-MAGDIF-BF25;LQ-MAGDIF-BF25;LQ-MAGDIF-BF25;Carretera Tunel;Carretera;166+727;CA
114;LQ-MAGDIF-BF26;LQ-MAGDIF-BF26;LQ-MAGDIF-BF26;Carretera Tunel;Carretera;166+727;CA
115;LQ-MAGDIF-BF27;LQ-MAGDIF-BF27;LQ-MAGDIF-BF27;Carretera Tunel;Carretera;166+727;CA
116;LQ-MAGDIF-BF28;LQ-MAGDIF-BF28;LQ-MAGDIF-BF28;Carretera Tunel;Carretera;166+727;CA
117;LQ-MAGDIF-BF29;LQ-MAGDIF-BF29;LQ-MAGDIF-BF29;Carretera Tunel;Carretera;166+727;CA
118;LQ-MAGDIF-BF30;LQ-MAGDIF-BF30;LQ-MAGDIF-BF30;Carretera Tunel;Carretera;166+727;CA
119;LQ-MAGDIF-BF34;LQ-MAGDIF-BF34;LQ-MAGDIF-BF34;Carretera Tunel;Carretera;166+727;CA
120;LQ-VENT-INT-VF2-MA;LQ-VENT-INT-VF2-MA;LQ-VENT-INT-VF2-MA;Carretera Tunel;Carretera;172+100;CA
121;LQ-MAG-GAL;LQ-MAG-GAL;LQ-MAG-GAL;Carretera Tunel;Carretera;166+727;CA
122;LQ-MAGDIF-GA1-LUM;LQ-MAGDIF-GA1-LUM;LQ-MAGDIF-GA1-LUM;Carretera Tunel;Carretera;166+727;CA
123;LQ-MAGDIF-GA2-LUM;LQ-MAGDIF-GA2-LUM;LQ-MAGDIF-GA2-LUM;Carretera Tunel;Carretera;166+727;CA
124;LQ-MAGDIF-GE1-LUM;LQ-MAGDIF-GE1-LUM;LQ-MAGDIF-GE1-LUM;Carretera Tunel;Carretera;166+727;CA
125;LQ-MAGDIF-GF6-GAL;LQ-MAGDIF-GF6-GAL;LQ-MAGDIF-GF6-GAL;Carretera Tunel;Carretera;166+727;CA
126;LQ-MAGDIF-GF9-COMM;LQ-MAGDIF-GF9-COMM;LQ-MAGDIF-GF9-COMM;Carretera Tunel;Carretera;166+727;CA
127;LQ-MAGDIF-PRES-GAL;LQ-MAGDIF-PRES-GAL;LQ-MAGDIF-PRES-GAL;Carretera Tunel;Carretera;166+727;CA
128;LQ-INT-CS-EDIF-ITS;LQ-INT-CS-EDIF-ITS;LQ-INT-CS-EDIF-ITS;Carretera Tunel;Carretera;166+727;CA
129;LQ-MAGDIF-FIBRA;LQ-MAGDIF-FIBRA;LQ-MAGDIF-FIBRA;Carretera Tunel;Carretera;166+317;CA
130;LQ-MAGDIF-CGBT-ITS1;LQ-MAGDIF-CGBT-ITS1;LQ-MAGDIF-CGBT-ITS1;Carretera Tunel;Carretera;166+317;CA
