item;alias;description;sessionuid;road;stretchs;secc;pk;dm;sentido
94;S2TN-VCH-805A;S2TN-VCH-805A;S2TN-VCH-805A;AVO;S2TN-ZON-002;Secc.03-11-08;44+42;8100;
95;S2TN-VCH-805B;S2TN-VCH-805B;S2TN-VCH-805B;AVO;S2TN-ZON-002;Secc.03-11-08;44+42;8100;
96;S2TS-VCH-800A;S2TS-VCH-800A;S2TS-VCH-800A;AVO;S2TS-ZON-049;Secc.02-10-07;44+48;8100;
97;S2TS-VCH-800B;S2TS-VCH-800B;S2TS-VCH-800B;AVO;S2TS-ZON-049;Secc.02-10-07;44+48;8100;
98;S2TN-VCH-807A;S2TN-VCH-807A;S2TN-VCH-807A;AVO;S2TN-ZON-001;Secc.03-11-08;44+5;8100;
99;S2TN-VCH-807B;S2TN-VCH-807B;S2TN-VCH-807B;AVO;S2TN-ZON-001;Secc.03-11-08;44+5;8100;
2401;CT02-VAX-202;CT02-VAX-202;CT02-VAX-202;AVO;S1TS-ZON-012;Secc.01-10-02;38+05;1748;
2402;CT02-VAX-204A;CT02-VAX-204A;CT02-VAX-204A;AVO;S1TS-ZON-012;Secc.01-10-02;38+05;1748;
2403;CT02-VAX-204B;CT02-VAX-204B;CT02-VAX-204B;AVO;S1TS-ZON-012;Secc.01-10-02;38+05;1748;
2404;CT02-VAX-206;CT02-VAX-206;CT02-VAX-206;AVO;S1TS-ZON-012;Secc.01-10-02;38+05;1748;
2405;CT02-VAX-208A;CT02-VAX-208A;CT02-VAX-208A;AVO;S1TS-ZON-012;Secc.01-10-02;38+05;1748;
2406;CT02-VAX-208B;CT02-VAX-208B;CT02-VAX-208B;AVO;S1TS-ZON-012;Secc.01-10-02;38+05;1748;
2407;CT04-VAX-401;CT04-VAX-401;CT04-VAX-401;AVO;S2TS-ZON-008;Secc.02-10-04;40+32;4020;
2408;CT04-VAX-402;CT04-VAX-402;CT04-VAX-402;AVO;S2TS-ZON-008;Secc.02-10-04;40+32;4020;
2409;CT04-VAX-403A;CT04-VAX-403A;CT04-VAX-403A;AVO;S2TS-ZON-008;Secc.02-10-04;40+32;4020;
2410;CT04-VAX-403B;CT04-VAX-403B;CT04-VAX-403B;AVO;S2TS-ZON-008;Secc.02-10-04;40+32;4020;
2411;CT04-VAX-404A;CT04-VAX-404A;CT04-VAX-404A;AVO;S2TS-ZON-008;Secc.02-10-04;40+32;4020;
2412;CT04-VAX-404B;CT04-VAX-404B;CT04-VAX-404B;AVO;S2TS-ZON-008;Secc.02-10-04;40+32;4020;
2413;CT05-VAX-501;CT05-VAX-501;CT05-VAX-501;AVO;S2TN-ZON-031;Secc.03-11-11;41+46;5160;
2414;CT05-VAX-502;CT05-VAX-502;CT05-VAX-502;AVO;S2TN-ZON-031;Secc.03-11-10;41+46;5160;
2415;CT05-VAX-503A;CT05-VAX-503A;CT05-VAX-503A;AVO;S2TN-ZON-031;Secc.03-11-10;41+46;5160;
2416;CT05-VAX-503B;CT05-VAX-503B;CT05-VAX-503B;AVO;S2TN-ZON-031;Secc.03-11-11;41+46;5160;
2417;CT05-VAX-504A;CT05-VAX-504A;CT05-VAX-504A;AVO;S2TN-ZON-031;Secc.03-11-11;41+46;5160;
2418;CT05-VAX-504B;CT05-VAX-504B;CT05-VAX-504B;AVO;S2TN-ZON-031;Secc.03-11-11;41+46;5160;
2419;CT06-VAX-601;CT06-VAX-601;CT06-VAX-601;AVO;S2TS-ZON-030;Secc.02-10-06;42+58;6280;
2420;CT06-VAX-602;CT06-VAX-602;CT06-VAX-602;AVO;S2TS-ZON-030;Secc.02-10-06;42+58;6280;
2421;CT06-VAX-603A;CT06-VAX-603A;CT06-VAX-603A;AVO;S2TS-ZON-030;Secc.02-10-06;42+58;6280;
2422;CT06-VAX-603B;CT06-VAX-603B;CT06-VAX-603B;AVO;S2TS-ZON-030;Secc.02-10-06;42+58;6280;
2423;CT06-VAX-604A;CT06-VAX-604A;CT06-VAX-604A;AVO;S2TS-ZON-030;Secc.02-10-06;42+58;6280;
2424;CT06-VAX-604B;CT06-VAX-604B;CT06-VAX-604B;AVO;S2TS-ZON-030;Secc.02-10-06;42+58;6280;
2425;CT07-VAX-701;CT07-VAX-701;CT07-VAX-701;AVO;S2TS-ZON-038;Secc.02-10-07;43+52;7220;
2426;CT07-VAX-702;CT07-VAX-702;CT07-VAX-702;AVO;S2TS-ZON-038;Secc.02-10-07;43+52;7220;
2427;CT07-VAX-703A;CT07-VAX-703A;CT07-VAX-703A;AVO;S2TS-ZON-038;Secc.02-10-07;43+52;7220;
2428;CT07-VAX-703B;CT07-VAX-703B;CT07-VAX-703B;AVO;S2TS-ZON-038;Secc.02-10-07;43+52;7220;
2429;CT07-VAX-704A;CT07-VAX-704A;CT07-VAX-704A;AVO;S2TS-ZON-038;Secc.02-10-07;43+52;7220;
2430;CT07-VAX-704B;CT07-VAX-704B;CT07-VAX-704B;AVO;S2TS-ZON-038;Secc.02-10-07;43+52;7220;
2431;CT08-VAX-801A;CT08-VAX-801A;CT08-VAX-801A;AVO;S2TN-ZON-001;Secc.03-11-08;44+52;8220;
2432;CT08-VAX-801B;CT08-VAX-801B;CT08-VAX-801B;AVO;S2TN-ZON-001;Secc.03-11-08;44+52;8220;
2433;CT08-VAX-802A;CT08-VAX-802A;CT08-VAX-802A;AVO;S2TN-ZON-001;Secc.03-11-08;44+52;8220;
2434;CT08-VAX-802B;CT08-VAX-802B;CT08-VAX-802B;AVO;S2TN-ZON-001;Secc.03-11-08;44+52;8220;
2435;CT08-VAX-802C;CT08-VAX-802C;CT08-VAX-802C;AVO;S2TN-ZON-001;Secc.03-11-08;44+52;8220;
