item;element_subtype;alias;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model;param3_protocol;param4_config_json;param6_cabinet
154;15;PDZDH09L;PDZDH09L;R7;R7_4:Šamorín-Holice;;SERVICE AREA;L;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZDH08L
155;15;PDZDH11L;PDZDH11L;R7;R7_4:Šamorín-Holice;;29+542;L;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZDH09L
156;15;PDZDH12L;PDZDH12L;R7;R7_4:Šamorín-Holice;;30+042;L;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZDH10L
157;15;PDZJS01Pa;PDZJS01Pa;D4;D4_3:Ketelec-Rovinca;;10+484;P;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZJS01P
158;15;PDZJS02Pa;PDZJS02Pa;D4;D4_3:Ketelec-Rovinca;;10+484;P;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZJS01P
159;15;PDZJS03P;PDZJS03P;D4;D4_3:Ketelec-Rovinca;;10+636;P;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZJS02P
160;15;PDZJS04P;PDZJS04P;D4;D4_3:Ketelec-Rovinca;;10+899;P;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZJS03P
161;15;PDZJS07L;PDZJS07L;D4;D4_3:Ketelec-Rovinca;;11+140;L;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RNRJS25P
162;15;PDZJS08L;PDZJS08L;D4;D4_3:Ketelec-Rovinca;;11+368;L;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZJS05L
163;15;PDZJS09La;PDZJS09La;D4;D4_3:Ketelec-Rovinca;;11+534;L;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZJS06L
164;15;PDZJS10La;PDZJS10La;D4;D4_3:Ketelec-Rovinca;;11+534;L;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZJS06L
165;17;NRLPK02PA;NRLPK02PA;R7;R7_1:Prievoz-Ketelec;;0+415;P;Lacroix;AB;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";RNRPK01L
166;17;NRLPK02PB;NRLPK02PB;R7;R7_1:Prievoz-Ketelec;;0+415;P;Lacroix;AB;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";RNRPK01L
167;23;NRSPK22Pa;NRSPK22Pa;R7;R7_1:Prievoz-Ketelec;;0+045;P;Lacroix;ROTAPANEL;MODBUS;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";RNRSPK22
168;23;NRSPK22Pb;NRSPK22Pb;R7;R7_1:Prievoz-Ketelec;;0+045;P;Lacroix;ROTAPANEL;MODBUS;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";RNRSPK22
169;23;NRSPK07Pa;NRSPK07Pa;R7;R7_1:Prievoz-Ketelec;;0+835;P;Lacroix;ROTAPANEL;MODBUS;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";RNRPK03L
170;23;NRSPK07Pb;NRSPK07Pb;R7;R7_1:Prievoz-Ketelec;;0+835;P;Lacroix;ROTAPANEL;MODBUS;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";RNRPK03L
171;23;NRSKD01cL;NRSKD01cL;R7;R7_2:Ketelec-Dunajská Lužná;;6+253;L;Lacroix;ROTAPANEL;MODBUS;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";RNRKDO1L
172;23;NRSKD01dL;NRSKD01dL;R7;R7_2:Ketelec-Dunajská Lužná;;6+253;L;Lacroix;ROTAPANEL;MODBUS;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";RNRKDO1L
173;23;PSJS406aP;PSJS406aP;D4;D4_2:Rusovce-Ketelec;;0+165 VETVY PB;P;Lacroix;ROTAPANEL;MODBUS;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";RADPJS20P
174;23;PSJS406bP;PSJS406bP;D4;D4_2:Rusovce-Ketelec;;0+165 VETVY PB;P;Lacroix;ROTAPANEL;MODBUS;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";RADPJS20P
175;23;PSJS486La;PSJS486La;D4;D4_3:Ketelec-Rovinca;;9+177;L;Lacroix;ROTAPANEL;MODBUS;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";RNRJS19P
176;23;PSJS486Lb;PSJS486Lb;D4;D4_3:Ketelec-Rovinca;;9+177;L;Lacroix;ROTAPANEL;MODBUS;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";RNRJS19P
177;24;NRLJSRP2;NRLJSRP2;D4;D4_3:Ketelec-Rovinca;;SERVICE_AREA;P;Lacroix;METEO/TRAFICO;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":24},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""text""}]";RNRLJSRP2
178;24;NRLJSRL1;NRLJSRL1;D4;D4_3:Ketelec-Rovinca;;SERVICE_AREA;L;Lacroix;METEO/TRAFICO;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":24},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""text""}]";RNRLJSRL1
