device_name;session_uid;detector_order;url_receiver;endpoint;url_publisher;url_put_command
COR-TV-9MA;COR-TV-9MA;8;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-10MA;COR-TV-10MA;9;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-11MA;COR-TV-11MA;10;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-12MA;COR-TV-12MA;11;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-1CA;COR-TV-1CA;12;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-2CA;COR-TV-2CA;13;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-3CA;COR-TV-3CA;14;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-4CA;COR-TV-4CA;15;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-5CA;COR-TV-5CA;16;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-6CA;COR-TV-6CA;17;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-7CA;COR-TV-7CA;18;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-8CA;COR-TV-8CA;19;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-9CA;COR-TV-9CA;20;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-10CA;COR-TV-10CA;21;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-11CA;COR-TV-11CA;22;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-12CA;COR-TV-12CA;23;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
