"id";"value";"type";"param";"param_type";"protocol_type";"protocol_param_id"
2206;"CH00F1";2;1002;2;2;2
2207;"CH00F2";2;1002;2;2;2
2208;"CH00F3";2;1002;2;2;2
2209;"CH00F4";2;1002;2;2;2
2210;"CH00F5";2;1002;2;2;2
2211;"CH00F6";2;1002;2;2;2
2212;"CH00F7";2;1002;2;2;2
2213;"CH00F8";2;1002;2;2;2
2214;"CH00F9";2;1002;2;2;2
2215;"CH00FA";2;1002;2;2;2
2216;"CH00FB";2;1002;2;2;2
2217;"CH00FC";2;1002;2;2;2
2218;"CH00FD";2;1002;2;2;2
2219;"CH00FE";2;1002;2;2;2
2220;"CH00FF";2;1002;2;2;2
2221;"CH2191";2;1002;2;2;2
