device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_state(i)
TUN-MAGDIF-BF28;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4085
TUN-MAGDIF-BF29;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4086
TUN-MAGDIF-BF30;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4087
TUN-MAGDIF-BF34;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4088
TUN-VENT-INT-VF2;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4089
TUN-MAG-GAL;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4090
TUN-MAGDIF-GA1-LUM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4091
TUN-MAGDIF-GA2-LUM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4092
TUN-MAGDIF-GE1-LUM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4093
TUN-MAGDIF-GF6-GAL;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4094
TUN-MAGDIF-GF9-COMM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4095
TUN-MAGDIF-PRES-GAL;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4096
TUN-INT-CS-EDIF;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4097
TUN-MAGDIF-FIBRA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4098
TUN-MAGDIF-CGBT-ITS1;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4099
