device_name;url_publisher;source_name;host;port(i);offset_state(i)
INT-NUB-IZQ-3-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;47
INT-NOC-IZQ-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;48
INT-CREP-IZQ-1-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;49
INT-CREP-IZQ-2-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;50
INT-CREP-IZQ-3-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;51
INT-SOL-DER-1-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;52
INT-SOL-DER-2-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;53
INT-SOL-DER-3-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;54
INT-SOL-DER-4-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;55
INT-NUB-DER-1-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;56
INT-NUB-DER-2-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;57
INT-NUB-DER-3-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;58
INT-CREP-DER-1-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;59
INT-CREP-DER-2-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;60
INT-CREP-DER-3-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;61
